feature_name,source_factor,usage_type,catalog_direction,resolved_direction,direction_source,train_rank_ic,fold_id,test_year
tsmom_60__csz,tsmom_60,predictor,1,1,catalog,,fold_2019,2019
tsmom_60__missing,tsmom_60,quality_flag,1,1,catalog,,fold_2019,2019
csmom_60__csz,csmom_60,predictor,1,1,catalog,,fold_2019,2019
csmom_60__missing,csmom_60,quality_flag,1,1,catalog,,fold_2019,2019
trend_efficiency_60__csz,trend_efficiency_60,predictor,0,-1,train_rank_ic,-0.007788560971946111,fold_2019,2019
trend_efficiency_60__missing,trend_efficiency_60,quality_flag,0,-1,train_rank_ic,-0.0058716907657194,fold_2019,2019
multi_horizon_trend__csz,multi_horizon_trend,predictor,1,1,catalog,,fold_2019,2019
multi_horizon_trend__missing,multi_horizon_trend,quality_flag,1,1,catalog,,fold_2019,2019
carry_annualized__csz,carry_annualized,predictor,1,1,catalog,,fold_2019,2019
carry_annualized__missing,carry_annualized,quality_flag,1,1,catalog,,fold_2019,2019
carry_change_20__csz,carry_change_20,predictor,1,1,catalog,,fold_2019,2019
carry_change_20__missing,carry_change_20,quality_flag,1,1,catalog,,fold_2019,2019
basis_fresh__csz,basis_fresh,predictor,1,1,catalog,,fold_2019,2019
basis_fresh__missing,basis_fresh,quality_flag,1,1,catalog,,fold_2019,2019
basis_shock_20__csz,basis_shock_20,predictor,1,1,catalog,,fold_2019,2019
basis_shock_20__missing,basis_shock_20,quality_flag,1,1,catalog,,fold_2019,2019
basis_momentum_20__csz,basis_momentum_20,predictor,1,1,catalog,,fold_2019,2019
basis_momentum_20__missing,basis_momentum_20,quality_flag,1,1,catalog,,fold_2019,2019
curve_curvature__csz,curve_curvature,predictor,0,-1,train_rank_ic,-0.004871448586534118,fold_2019,2019
curve_curvature__missing,curve_curvature,quality_flag,0,-1,train_rank_ic,-0.007633645643628219,fold_2019,2019
value_252__csz,value_252,predictor,1,1,catalog,,fold_2019,2019
value_252__missing,value_252,quality_flag,1,1,catalog,,fold_2019,2019
short_reversal_5__csz,short_reversal_5,predictor,1,1,catalog,,fold_2019,2019
inventory_scarcity__csz,inventory_scarcity,predictor,1,1,catalog,,fold_2019,2019
inventory_scarcity__missing,inventory_scarcity,quality_flag,1,1,catalog,,fold_2019,2019
inventory_change_5__csz,inventory_change_5,predictor,1,1,catalog,,fold_2019,2019
inventory_change_5__missing,inventory_change_5,quality_flag,1,1,catalog,,fold_2019,2019
inventory_surprise__csz,inventory_surprise,predictor,1,1,catalog,,fold_2019,2019
inventory_surprise__missing,inventory_surprise,quality_flag,1,1,catalog,,fold_2019,2019
warehouse_tightness__csz,warehouse_tightness,predictor,1,1,catalog,,fold_2019,2019
warehouse_tightness__missing,warehouse_tightness,quality_flag,1,1,catalog,,fold_2019,2019
tightness_composite__csz,tightness_composite,predictor,1,1,catalog,,fold_2019,2019
tightness_composite__missing,tightness_composite,quality_flag,1,1,catalog,,fold_2019,2019
oi_growth_20__csz,oi_growth_20,conditional,0,-1,train_rank_ic,-0.015420656030809407,fold_2019,2019
oi_growth_20__missing,oi_growth_20,quality_flag,0,1,train_rank_ic,0.026990415736882666,fold_2019,2019
price_oi_interaction_20__csz,price_oi_interaction_20,predictor,1,1,catalog,,fold_2019,2019
price_oi_interaction_20__missing,price_oi_interaction_20,quality_flag,1,1,catalog,,fold_2019,2019
volume_shock_20__csz,volume_shock_20,conditional,0,-1,train_rank_ic,-0.02749707804494588,fold_2019,2019
volume_shock_20__missing,volume_shock_20,quality_flag,0,-1,train_rank_ic,-0.054465585301856016,fold_2019,2019
amihud_20__csz,amihud_20,risk,-1,-1,catalog,,fold_2019,2019
amihud_20__missing,amihud_20,quality_flag,-1,-1,catalog,,fold_2019,2019
turnover_oi__csz,turnover_oi,conditional,0,1,train_rank_ic,0.004745966683002947,fold_2019,2019
realized_volatility_20__csz,realized_volatility_20,risk,0,1,train_rank_ic,0.02091996124599831,fold_2019,2019
realized_volatility_20__missing,realized_volatility_20,quality_flag,0,1,train_rank_ic,0.0069521794749323905,fold_2019,2019
low_volatility_20__csz,low_volatility_20,risk,1,1,catalog,,fold_2019,2019
low_volatility_20__missing,low_volatility_20,quality_flag,1,1,catalog,,fold_2019,2019
realized_skewness_60__csz,realized_skewness_60,risk,-1,-1,catalog,,fold_2019,2019
realized_skewness_60__missing,realized_skewness_60,quality_flag,-1,-1,catalog,,fold_2019,2019
seasonality_3y__csz,seasonality_3y,predictor,1,1,catalog,,fold_2019,2019
seasonality_3y__missing,seasonality_3y,quality_flag,1,1,catalog,,fold_2019,2019
sector_relative_value_60__csz,sector_relative_value_60,predictor,1,1,catalog,,fold_2019,2019
sector_relative_value_60__missing,sector_relative_value_60,quality_flag,1,1,catalog,,fold_2019,2019
factor_momentum__tsz,factor_momentum,conditional,0,1,train_rank_ic,,fold_2019,2019
factor_momentum__missing,factor_momentum,quality_flag,0,1,train_rank_ic,,fold_2019,2019
fundamental_composite_news__csz,fundamental_composite_news,predictor,1,1,catalog,,fold_2019,2019
fundamental_composite_news__missing,fundamental_composite_news,quality_flag,1,1,catalog,,fold_2019,2019
fundamental_underreaction__csz,fundamental_underreaction,predictor,1,1,catalog,,fold_2019,2019
fundamental_underreaction__missing,fundamental_underreaction,quality_flag,1,1,catalog,,fold_2019,2019
information_consistency__csz,information_consistency,predictor,1,1,catalog,,fold_2019,2019
information_consistency__missing,information_consistency,quality_flag,1,1,catalog,,fold_2019,2019
information_divergence__csz,information_divergence,predictor,0,1,train_rank_ic,0.04059277700477453,fold_2019,2019
information_divergence__missing,information_divergence,quality_flag,0,1,train_rank_ic,0.03114495786786268,fold_2019,2019
warehouse_surprise__csz,warehouse_surprise,predictor,1,1,catalog,,fold_2019,2019
